gameId,gameDateTimeEst,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber,home_gameId,home_teamId,home_team_rolling_assists,home_team_rolling_blocks,home_team_rolling_steals,home_team_rolling_fieldGoalsPercentage,home_team_rolling_threePointersPercentage,home_team_rolling_freeThrowsPercentage,home_team_rolling_reboundsTotal,home_team_rolling_turnovers,home_team_rolling_plusMinusPoints,home_team_rolling_pointsInThePaint,away_gameId,away_teamId,away_team_rolling_assists,away_team_rolling_blocks,away_team_rolling_steals,away_team_rolling_fieldGoalsPercentage,away_team_rolling_threePointersPercentage,away_team_rolling_freeThrowsPercentage,away_team_rolling_reboundsTotal,away_team_rolling_turnovers,away_team_rolling_plusMinusPoints,away_team_rolling_pointsInThePaint
22400014,2024-11-15 19:30:00+00:00,New York,Knicks,1610612752,Brooklyn,Nets,1610612751,124,122,1610612752,Regular Season,19812.0,30.0,Emirates NBA Cup,East Group A,0.0,22400014,1610612752,27.1,3.7,7.5,0.4876999999999999,0.38289999999999996,0.8039999999999999,42.7,12.0,6.3,50.2,22400014,1610612751,26.7,3.4,6.8,0.46909999999999996,0.3570000000000001,0.8170999999999999,39.9,12.8,-1.5,44.4
22400013,2024-11-15 19:30:00+00:00,Cleveland,Cavaliers,1610612739,Chicago,Bulls,1610612741,144,126,1610612739,Regular Season,19432.0,1000006.0,Emirates NBA Cup,East Group C,0.0,22400013,1610612739,28.3,4.3,9.0,0.5108999999999999,0.4048999999999999,0.7567999999999999,42.1,11.7,9.1,53.0,22400013,1610612741,28.4,4.3,7.5,0.4617,0.36940000000000006,0.7543,46.6,16.4,-5.9,46.4
22400012,2024-11-15 19:30:00+00:00,Atlanta,Hawks,1610612737,Washington,Wizards,1610612764,129,117,1610612737,Regular Season,16038.0,650.0,Emirates NBA Cup,East Group C,0.0,22400012,1610612737,29.3,4.2,10.4,0.46509999999999996,0.3432,0.7626999999999999,42.8,15.2,-6.9,56.4,22400012,1610612764,25.5,6.6,8.5,0.4444,0.31980000000000003,0.7988,41.0,15.0,-13.2,48.8
22400017,2024-11-15 20:00:00+00:00,New Orleans,Pelicans,1610612740,Denver,Nuggets,1610612743,101,94,1610612740,Regular Season,16137.0,160.0,Emirates NBA Cup,West Group C,0.0,22400017,1610612740,23.6,4.7,7.3,0.441,0.34650000000000003,0.7895,42.2,14.5,-13.7,43.8,22400017,1610612743,30.7,5.0,8.6,0.4786,0.41,0.7786000000000001,47.0,13.8,2.9,52.8
22400018,2024-11-15 20:00:00+00:00,Oklahoma City,Thunder,1610612760,Phoenix,Suns,1610612756,99,83,1610612760,Regular Season,18203.0,1000052.0,Emirates NBA Cup,West Group B,0.0,22400018,1610612760,26.2,6.6,12.8,0.4737,0.3887,0.8218,40.1,11.1,11.8,46.8,22400018,1610612756,25.8,5.5,7.2,0.45999999999999996,0.3682000000000001,0.7792,45.1,11.2,1.0,40.4
22400016,2024-11-15 20:00:00+00:00,Houston,Rockets,1610612745,Los Angeles,Clippers,1610612746,125,104,1610612745,Regular Season,18055.0,215.0,Emirates NBA Cup,West Group A,0.0,22400016,1610612745,21.7,5.5,8.1,0.44349999999999995,0.3067,0.7636999999999999,48.9,12.2,4.7,52.2,22400016,1610612746,25.1,4.8,8.5,0.46880000000000005,0.4035000000000001,0.7548,45.2,15.4,0.6,47.4
22400019,2024-11-15 22:00:00+00:00,Golden State,Warriors,1610612744,Memphis,Grizzlies,1610612763,123,118,1610612744,Regular Season,18064.0,1000011.0,Emirates NBA Cup,West Group C,0.0,22400019,1610612744,29.3,5.9,9.6,0.47519999999999996,0.38689999999999997,0.7218,47.5,12.8,8.6,49.8,22400019,1610612763,31.0,6.9,8.5,0.5027,0.3563,0.7861,48.4,16.4,11.6,63.0
22400020,2024-11-15 22:00:00+00:00,Sacramento,Kings,1610612758,Minnesota,Timberwolves,1610612750,126,130,1610612750,Regular Season,16478.0,609.0,Emirates NBA Cup,West Group A,0.0,22400020,1610612758,24.7,4.9,8.5,0.49350000000000005,0.3108000000000001,0.8297000000000001,44.9,13.3,5.4,50.4,22400020,1610612750,26.1,5.2,9.0,0.4796,0.37650000000000006,0.7966,40.7,15.9,3.7,46.4
22400021,2024-11-19 19:00:00+00:00,Boston,Celtics,1610612738,Cleveland,Cavaliers,1610612739,120,117,1610612738,Regular Season,19156.0,17.0,Emirates NBA Cup,East Group C,0.0,22400021,1610612738,25.9,5.2,7.5,0.4556,0.34959999999999997,0.8179000000000002,43.5,12.4,8.3,42.8,22400021,1610612739,28.4,4.6,8.0,0.5174999999999998,0.4222,0.7948999999999999,43.2,12.5,9.3,52.2
22400022,2024-11-19 19:30:00+00:00,Brooklyn,Nets,1610612751,Charlotte,Hornets,1610612766,116,115,1610612751,Regular Season,18117.0,461.0,Emirates NBA Cup,East Group A,0.0,22400022,1610612751,26.5,3.0,6.4,0.46109999999999995,0.3657,0.8140000000000001,38.3,12.6,-3.5,40.4,22400022,1610612766,24.2,4.4,8.1,0.4309,0.34840000000000004,0.7737999999999999,44.6,14.2,-6.0,42.4
